pattern,lag,stop_loss,take_profit,trailing_stop,position_size,holding_time,source,total_return,total_return_pct,win_rate,total_trades,max_drawdown,max_drawdown_pct,sharpe_ratio,profit_factor,avg_trade_duration_minutes,avg_trade_return_pct,final_value,risk_adjusted_return
btc_hl_breakout_9m,0,0.08,0.25,0.02,0.05,45,random,0.01980841911592605,1.980841911592605,0.36363636363636365,11,-0.017351269630303978,-1.7351269630303978,24.264926897219752,1.8852136496880763,1.3196969696969699e-09,3.625949276322037,10198.08419115926,0.01980841911592605
btc_vol_breakout_9m,0,0.015,0.08,0.035,0.1,1440,random,0.003986063004021264,0.3986063004021264,0.34210526315789475,38,-0.023604289881186236,-2.3604289881186236,4.050745350034496,1.075365171308575,2.1710526315789474e-10,0.11267387418032379,10039.860630040213,0.003986063004021264
btc_small_up_10m,0,0.0125,0.08,0.035,0.5,5,random,0.05097030991637003,5.097030991637003,0.30612244897959184,49,-0.1626272386868105,-16.26272386868105,9.260800869594995,1.121896676848462,1.6938775510204082e-10,0.2614120278987568,10509.7030991637,0.05097030991637003
btc_small_up_10m,0,0.02,0.3,0.0175,0.2,20,random,0.018737345631551376,1.8737345631551376,0.2777777777777778,36,-0.07846934764840685,-7.846934764840685,7.144024242112472,1.1308862440837595,2.9583333333333335e-10,0.29611817048852634,10187.373456315514,0.018737345631551376
btc_vol_breakout_2m,0,0.015,0.01,0.04,0.05,90,random,-0.000537845846419043,-0.053784584641904304,0.5476190476190477,84,-0.015571391851035843,-1.5571391851035843,-0.7151005020348572,0.9891582675171335,1.0238095238095239e-10,-0.01037598810850901,9994.62154153581,-0.000537845846419043
btc_hl_breakout_5m,0,0.02,0.01,0.05,0.2,1440,random,-0.03650118781626224,-3.650118781626224,0.5540540540540541,74,-0.09307953096866517,-9.307953096866516,-14.67010656825021,0.8305926843808428,1.268018018018018e-10,-0.23976697959811177,9634.988121837378,-0.03650118781626224
btc_hl_breakout_7m,0,0.03,0.045,0.02,0.4,90,random,0.0492500281211685,4.92500281211685,0.38095238095238093,42,-0.17121687983316225,-17.121687983316225,9.885387202394009,1.1210421531512667,3.1547619047619047e-10,0.3442368023024793,10492.500281211685,0.0492500281211685
btc_hl_breakout_5m,0,0.01,0.04,0.03,0.4,20,random,0.08772160299786241,8.772160299786242,0.3835616438356164,73,-0.12441334706227791,-12.441334706227792,16.58922954281225,1.2096885121940197,1.410958904109589e-10,0.31967811863629675,10877.216029978625,0.08772160299786241
btc_hl_breakout_3m,0,0.05,0.12,0.003,0.05,15,random,0.013414579903013663,1.3414579903013664,0.38095238095238093,21,-0.018060930237057127,-1.8060930237057127,18.68028507267159,1.3865956130702626,6.746031746031746e-10,1.2936987998177547,10134.145799030137,0.013414579903013663
btc_alt_aligned,0,0.03,0.035,0.0075,0.15,20,random,0.026538658318377838,2.6538658318377837,0.42857142857142855,49,-0.052207644030545675,-5.2207644030545675,11.996572793769067,1.1648587709384353,2.846938775510204e-10,0.3778243273787079,10265.38658318378,0.026538658318377838
btc_vol_breakout_8m,0,0.06,0.25,0.0075,0.2,5,random,0.06401048488318807,6.401048488318807,0.35714285714285715,14,-0.054716316868013704,-5.47163168680137,23.843572506441607,1.6489058033575965,9.404761904761905e-10,2.3637786310707494,10640.104848831881,0.06401048488318807
btc_hl_breakout_6m,0,0.03,0.06,0.04,0.05,10,random,-0.0016763369609181324,-0.16763369609181325,0.2857142857142857,35,-0.024622540589934516,-2.4622540589934516,-2.3311019445573806,0.9610726583501844,3.657142857142857e-10,-0.08707985836306215,9983.236630390818,-0.0016763369609181324
btc_hl_breakout_6m,0,0.005,0.02,0.03,0.3,20,random,-0.021056978389605,-2.1056978389605003,0.31683168316831684,101,-0.1380871480006648,-13.808714800066479,-4.1479976764574715,0.9369877928273228,8.762376237623763e-11,-0.05452117239777933,9789.43021610395,-0.021056978389605
btc_vol_breakout_8m,0,0.04,0.06,0.0075,0.05,90,random,0.008180162416357047,0.8180162416357047,0.4,25,-0.013433184496261519,-1.3433184496261519,13.90218878050606,1.3035450204916297,4.746666666666667e-10,0.6615358656176132,10081.80162416357,0.008180162416357047
btc_small_down_10m,0,0.0125,0.03,0.025,0.5,5,random,0.19398831610299822,19.398831610299823,0.4482758620689655,58,-0.11301446783787783,-11.301446783787783,34.929228874984354,1.5348553375662894,1.474137931034483e-10,0.6400881200750341,11939.883161029982,0.19398831610299822
btc_alt_aligned,0,0.0125,0.03,0.015,0.25,15,random,0.017543220583516633,1.7543220583516632,0.3516483516483517,91,-0.09537436682913858,-9.537436682913858,5.673051112567132,1.0526797785376942,1.445054945054945e-10,0.09463751880690649,10175.432205835166,0.017543220583516633
btc_hl_breakout_9m,0,0.01,0.3,0.01,0.15,720,random,0.023964836097809007,2.396483609780901,0.29508196721311475,61,-0.06123897528213851,-6.123897528213851,11.5363361173634,1.1881967472436605,1.6885245901639345e-10,0.27402129402499775,10239.64836097809,0.023964836097809007
