pattern,lag,stop_loss,take_profit,trailing_stop,position_size,holding_time,source,total_return,total_return_pct,win_rate,total_trades,max_drawdown,max_drawdown_pct,sharpe_ratio,profit_factor,avg_trade_duration_minutes,avg_trade_return_pct,final_value,risk_adjusted_return
btc_bullish,0,0.025,0.05,0.0,0.5,45,random,0.14544925935732872,14.544925935732872,0.41025641025641024,39,-0.13298561969573797,-13.298561969573797,20.034516003372037,1.2827793955753835,3.431623931623932e-10,0.788859262769286,11454.492593573286,0.14544925935732872
btc_hl_breakout_2m,0,0.06,0.015,0.0,0.4,180,random,0.1451664455981067,14.51664455981067,0.8,40,-0.09961766564621277,-9.961766564621277,24.836129472209908,1.5091735169587164,3.1291666666666665e-10,0.8996000525558764,11451.664455981067,0.1451664455981067
btc_hl_breakout_3m,0,0.06,0.3,0.0,0.4,30,random,0.1447580381806859,14.475803818068588,0.42857142857142855,7,-0.13861408002538456,-13.861408002538456,22.576638989282372,1.8683202161604413,2.095238095238095e-09,5.58003148973838,11447.58038180686,0.1447580381806859
btc_small_up_9m,0,0.08,0.03,0.0,0.3,1440,random,0.14430550905006134,14.430550905006134,0.7916666666666666,24,-0.07223420440421235,-7.223420440421235,32.29712946692373,1.9826917324165165,5.229166666666667e-10,1.93245653179889,11443.055090500613,0.14430550905006134
btc_hl_breakout_10m,0,0.06,0.03,0.0,0.5,45,random,0.1440687445886774,14.40687445886774,0.6666666666666666,27,-0.1521886280664988,-15.21886280664988,20.24477447853536,1.3908317244146935,5.006172839506174e-10,1.094700351668264,11440.687445886775,0.1440687445886774
btc_hl_breakout_5m,0,0.08,0.25,0.0,0.4,120,random,0.1438413928746063,14.384139287460629,0.4444444444444444,9,-0.1324116222788897,-13.24116222788897,22.6499042001694,1.6033243335507013,1.6296296296296296e-09,4.378871664491449,11438.413928746064,0.1438413928746063
btc_hl_breakout_9m,0,0.05,0.15,0.0,0.5,10,random,0.14297676779398072,14.297676779398072,0.42857142857142855,14,-0.1878485798495777,-18.78485798495777,19.243682561899877,1.4074582319210787,1.0297619047619048e-09,2.274942619860296,11429.767677939806,0.14297676779398072
btc_small_down_10m,0,0.005,0.3,0.0,0.4,45,random,0.14202886110539603,14.202886110539604,0.13043478260869565,23,-0.11714926074798826,-11.714926074798825,24.061636185271286,1.8655579647039573,6.065217391304347e-10,1.6215312051430466,11420.28861105396,0.14202886110539603
btc_small_down_10m,0,0.03,0.2,0.0,0.5,120,random,0.14200007317858726,14.200007317858725,0.3076923076923077,13,-0.14234292819553818,-14.234292819553819,21.98336656534083,1.6246733867211876,1.0576923076923076e-09,2.3635023304297507,11420.000731785873,0.14200007317858726
btc_hl_breakout_5m,0,0.1,0.02,0.0,0.5,45,random,0.14166043011306956,14.166043011306956,0.7857142857142857,28,-0.16719552095654955,-16.719552095654954,19.98463193204641,1.3865118294501648,4.5119047619047624e-10,1.0514246210524425,11416.604301130696,0.14166043011306956
